,XIST_pos_female_normals,XIST_neg_male_normals,SARC,PAAD,THCA,LUAD,LIHC,LAML,LUSC,LGG,STAD,READ,DLBC,GBM,COAD,TGCT-NS,PRAD,ESCA,KIRC,PCPG,UVM,BRCA,ACC,BLCA,TGCT-S,KICH,HNSC,TGCT-U,KIRP,SKCM,THYM,MESO,CHOL
ENSG00000184785.5,6.604807669,5.941021614,14.69855005,4.471249557,3.371030823,3.537286749,1.095754896,4.870424935,1.931501793,4.315858488,2.880237058,2.140892196,1.514623678,7.687111277,1.647803972,4.235105001,4.078467959,1.769236144,11.17892232,10.22979702,4.233957533,2.80515507,8.199387893,3.547839197,1.206002899,1.488563461,1.121189517,8.540970436,2.303977294,7.242465614,6.559867531,4.379440707,3.044108507
ENSG00000102409.9,64.93449047,62.07801335,31.77373383,31.61594679,124.9202567,26.66193278,5.812041599,38.49128176,35.18667609,165.7293931,10.9690266,11.41142394,9.229651623,89.63387096,7.78485964,82.5959009,68.83471915,13.57960837,43.98828113,184.787809,39.59538506,41.65849687,96.65087908,45.26912305,33.63507723,49.79778018,13.48121177,106.4623864,48.31580326,42.9343145,76.11594112,41.93562277,21.23229711
ENSG00000156531.16,7.293418994,6.449516711,6.840241577,6.505521688,8.183952549,8.929176166,3.368656402,17.58872378,11.01699806,15.60044117,9.157666218,13.24070697,13.5223347,11.67117293,11.69673569,13.94155322,8.280492985,13.02774783,6.698854415,7.466106253,1.908955043,12.20771568,10.65060518,9.199081569,6.157799272,7.272585613,8.452526737,16.65057391,5.259680821,9.600166071,9.198407573,6.642551569,5.866668119
ENSG00000169891.17,5.375771899,7.893763548,3.163915046,11.08207153,2.798081191,4.825722863,4.039369139,4.107969752,3.388860581,10.08932659,6.608897484,7.617254938,0.540997572,2.317070692,7.358733502,2.703351269,32.43307763,5.436604657,11.56006251,3.106772544,0.733272034,17.71994015,17.86624125,4.673844276,0.941242645,1.041000817,2.138427672,2.80091849,12.16401165,2.206949519,1.94100685,2.060854516,3.583508376
ENSG00000130829.17,8.652020967,18.59825153,1.380194574,0.203418924,0.044144372,0.962082425,8.779856728,0.036977976,6.269022141,3.469436287,0.848211878,0.448600112,0.151908246,0.709276295,0.38476687,11.93742655,0.147390183,2.575617494,0.509353339,0.020188649,6.250787229,0.057665695,8.267750969,4.610789682,1.747472796,4.054764031,4.665099722,16.5115082,0.786101821,2.376543803,5.165966313,0.84044119,2.508483063
ENSG00000185825.15,191.844655,181.3735475,199.5412926,229.2088698,217.7246922,249.3816845,243.497931,77.11461106,292.1597507,153.5394404,136.8844101,334.4879587,153.5360099,218.446634,323.8635685,216.1008433,240.2687485,160.2034775,205.2566777,276.1694997,251.0605041,361.5646458,316.8473217,354.9866958,205.6632113,192.8980964,277.4816342,222.2901174,244.9539153,281.2088084,220.7713809,219.4510209,266.6115195
ENSG00000102001.12,0.255861109,0.129505554,0.080608557,0.354790569,0.189144515,0.383408226,0.038805924,0.976539877,0.269666456,0.15063894,0.240161295,0.144436809,0.197361231,0.134519529,0.139525731,0.609818395,0.037113283,0.281341346,0.47518049,0.231088299,0.706670773,0.376834098,0.014870759,0.1486386,0.104442312,0.038567661,0.114008145,0.160996363,0.159491348,0.094772898,0.481321719,0.282971702,0.180374856
ENSG00000102007.10,112.8394511,113.4955049,225.744919,176.4357015,97.92864321,174.2144383,41.50821012,201.9384089,311.1562826,20.05416609,251.4894174,299.0903372,80.04350928,106.3939488,277.0800688,39.32842632,42.72081534,348.124039,112.797356,127.7195083,42.73870722,234.6477505,298.7711055,247.3964553,17.78386891,38.83518046,386.3681988,26.26009081,86.31136781,196.1660633,151.713174,183.9533305,190.9165463
ENSG00000131828.13,114.2783082,130.7198161,118.821796,76.38843246,111.6892276,80.13513301,103.1967096,84.85473819,114.5245675,99.22225797,110.182028,229.5569805,106.8640595,92.56388877,204.0001604,240.1292618,69.59321419,118.0746573,100.4462642,69.10060261,91.40338716,92.22990481,92.96025779,112.9334959,62.32610093,270.3858284,114.1691951,216.8870343,222.695562,120.4370208,157.0635232,89.1477808,115.6167907
ENSG00000102158.19,38.01439897,37.48285179,34.71107125,30.28887389,42.89237975,40.89118081,31.2191338,30.038919,42.68818017,22.71941634,32.49647428,39.17468638,16.04793569,39.56130226,36.55287418,32.90730436,39.12041126,35.41250424,37.94850383,27.25204129,13.7487847,41.91744473,18.84709169,27.88104692,25.17603535,31.87298648,32.4306867,54.79225217,27.00799563,31.09077714,21.24936153,36.51091946,35.08343095
