sample,chrX_non_escaping_promoter_CpG_islands_median_beta,autosome_median_beta,XIST_TPM,Classification,Secondary_Class
TCGA-EB-A44R-06,0.031910779,0.055473338,0.100998096,SKCM,
TCGA-4Z-AA7Q-01,0.036792552,0.065887,0.081001925,BLCA,
TCGA-EL-A3ZP-01,0.032927086,0.054247327,0.000999989,THCA,
TCGA-32-2634-01,0.01696187,0.055159994,0.181004817,GBM,
TCGA-ZB-A961-01,0.038509719,0.061722326,0.410997066,THYM,
TCGA-LN-A5U5-01,0.036106681,0.063826951,1.141000956,ESCA,
TCGA-AB-2934-03,0.041409653,0.055359435,0.160996363,LAML,
TCGA-4A-A93X-01,0.034274762,0.056437529,0.061001985,KIRP,
TCGA-HZ-8005-01,0.044069582,0.080031855,0.050998549,PAAD,
TCGA-DH-A66B-01,0.043358502,0.078984287,0.010999639,LGG,
TCGA-55-6712-01,0.073709259,0.12760304,0.000999989,LUAD,
TCGA-J8-A3O0-01,0.034959217,0.061658972,0.010999639,THCA,
TCGA-85-6560-01,0.046401815,0.107811224,0.000999989,LUSC,
TCGA-UZ-A9PX-01,0.033502893,0.050222776,0.431012017,KIRP,
TCGA-DX-A6YZ-01,0.04299877,0.067204392,0.39098902,SARC,
TCGA-CZ-5986-01,0.041431999,0.073648888,0.150997859,KIRC,
TCGA-14-0736-02,0.04925432,0.079828911,0.141003219,GBM,
TCGA-DD-A73E-01,0.041892572,0.069695115,0.121001765,LIHC,
TCGA-EJ-7327-01,0.037985217,0.067956285,0.090999347,PRAD,
TCGA-P5-A730-01,0.042136742,0.085850079,0.11099757,LGG,
TCGA-IG-A3YB-01,0.042711893,0.096046622,0.081001925,ESCA,
TCGA-18-4083-01,0.016854582,0.059518292,0.061001985,LUSC,
TCGA-GV-A3QF-01,0.039588261,0.063488246,0.371002291,BLCA,
TCGA-R5-A805-01,0.038826662,0.063185195,0.030999742,STAD,
TCGA-L9-A743-01,0.060065809,0.096401946,0.000999989,LUAD,
TCGA-64-5779-01,0.063510607,0.0928627,0.030999742,LUAD,
TCGA-50-5930-01,0.079611217,0.109711616,0.11099757,LUAD,
TCGA-DJ-A1QQ-01,0.03334047,0.055697248,0.231005643,THCA,
TCGA-FD-A6TI-01,0.043129143,0.073169522,0.000999989,BLCA,
TCGA-85-A4QR-01,0.032447503,0.047337289,0.000999989,LUSC,
TCGA-DJ-A3VG-01,0.036412192,0.058560591,0.171003766,THCA,
TCGA-2G-AAKL-01,0.039045836,0.074226909,1.100988958,TGCT,TGCT-NS
TCGA-AZ-4323-01,0.050726148,0.0947689,0.190994103,COAD,
TCGA-HD-7832-01,0.04330296,0.079536843,0.000999989,HNSC,
TCGA-OR-A5JP-01,0.036796554,0.06088974,0.000999989,ACC,
TCGA-HL-7533-01,0.037588085,0.068128719,0.401007187,HNSC,
TCGA-2G-AAL5-01,0.033468729,0.057384565,0.090999347,TGCT,TGCT-NS
TCGA-P3-A6SX-01,0.043083327,0.074564657,0.081001925,HNSC,
TCGA-WB-A80P-01,0.039439043,0.063021814,0.071001829,PCPG,
TCGA-LA-A446-01,0.032828971,0.054170272,0.320989943,LUSC,
TCGA-NJ-A4YP-01,0.102916631,0.1302563,0.050998549,LUAD,
TCGA-CH-5753-01,0.032747295,0.058928363,0.050998549,PRAD,
TCGA-77-A5FZ-01,0.044114916,0.071750931,0.521016151,LUSC,
TCGA-VM-A8CD-01,0.041398803,0.064751961,0.041000917,LGG,
TCGA-05-4384-01,0.075564274,0.108688875,0.000999989,LUAD,
TCGA-FP-7998-01,0.044804013,0.204786467,0.000999989,STAD,
TCGA-CW-5584-01,0.045310034,0.075485829,0.000999989,KIRC,
TCGA-IQ-A61J-01,0.028323683,0.053338185,0.000999989,HNSC,
TCGA-ZF-AA52-01,0.035618194,0.064474363,0.000999989,BLCA,
TCGA-FE-A239-01,0.041401839,0.075651709,0.130996484,THCA,
TCGA-E7-A7DV-01,0.039873425,0.065491321,0.130996484,BLCA,
TCGA-CQ-6227-01,0.04539912,0.078086466,0.000999989,HNSC,
TCGA-AH-6549-01,0.043192901,0.075313143,0.181004817,READ,
TCGA-AD-6964-01,0.049674799,0.088205202,0.010999639,COAD,
TCGA-DH-A7UV-01,0.034788618,0.067666227,0.480997066,LGG,
TCGA-GV-A40G-01,0.037949747,0.062319479,0.010999639,BLCA,
TCGA-CJ-4876-01,0.019185535,0.067203072,0.071001829,KIRC,
TCGA-63-7021-01,0.035657571,0.06560901,0.000999989,LUSC,
TCGA-KK-A6E7-01,0.036271314,0.076889309,0.000999989,PRAD,
TCGA-IG-A51D-01,0.035706357,0.057939178,0.030999742,ESCA,
TCGA-B0-4847-01,0.036227722,0.070049785,0.150997859,KIRC,
TCGA-V1-A9OY-01,0.033575646,0.057758607,0.000999989,PRAD,
TCGA-US-A77G-01,0.039734906,0.069961128,0.050998549,PAAD,
TCGA-ZG-A9LZ-01,0.028620768,0.051085408,0.000999989,PRAD,
TCGA-2Z-A9JL-01,0.037191541,0.057113286,0.000999989,KIRP,
TCGA-21-1082-01,0.020141117,0.06156114,0.000999989,LUSC,
TCGA-SC-A6LN-01,0.03929756,0.062978309,0.150997859,MESO,
TCGA-D5-5539-01,0.043040508,0.06636045,0.000999989,COAD,
TCGA-B3-A6W5-01,0.048441273,0.070926202,0.701006633,KIRP,
TCGA-QK-A6IF-01,0.041955689,0.067982304,0.000999989,HNSC,
TCGA-CN-6010-01,0.05060449,0.088316402,0.010999639,HNSC,
TCGA-A3-A8OV-01,0.037468272,0.061453629,0.130996484,KIRC,
TCGA-CR-7393-01,0.037126563,0.062464466,0.000999989,HNSC,
TCGA-ET-A40Q-01,0.038088085,0.062869957,0.100998096,THCA,
TCGA-EJ-5515-01,0.038228125,0.064715485,0.000999989,PRAD,
TCGA-CV-A6JY-01,0.040795216,0.064142087,0.000999989,HNSC,
TCGA-D7-6818-01,0.045727092,0.077273632,0.141003219,STAD,
TCGA-NJ-A4YG-01,0.086812464,0.12157557,0.000999989,LUAD,
TCGA-CF-A3MG-01,0.036563435,0.051141878,0.010999639,BLCA,
TCGA-G9-6378-01,0.04124198,0.067071384,0.000999989,PRAD,
TCGA-MQ-A4LP-01,0.029726843,0.044523202,0.000999989,MESO,
TCGA-G4-6322-01,0.041316382,0.076518943,0.100998096,COAD,
TCGA-EM-A1CU-01,0.04414405,0.069652212,0.010999639,THCA,
TCGA-IA-A40U-01,0.035815235,0.05617681,0.220997201,KIRP,
TCGA-RD-A8N1-01,0.041016642,0.066667867,0.000999989,STAD,
TCGA-VD-A8KH-01,0.035540035,0.056143521,0.020999518,UVM,
TCGA-BR-7722-01,0.043358244,0.069750678,0.010999639,STAD,
TCGA-32-1970-01,0.015993607,0.0523291,0.350989554,GBM,
TCGA-B0-5106-01,0.039806279,0.061004085,0.100998096,KIRC,
TCGA-L5-A8NL-01,0.047978321,0.100409243,0.071001829,ESCA,
TCGA-UF-A7JC-01,0.038323557,0.061386471,0.000999989,HNSC,
TCGA-G9-7523-01,0.03941908,0.090499999,0.000999989,PRAD,
TCGA-BR-8678-01,0.038847757,0.065202928,0.050998549,STAD,
TCGA-DX-AB2G-01,0.033652031,0.056714972,0.000999989,SARC,
TCGA-B9-A44B-01,0.040536403,0.064937174,0.240999156,KIRP,
TCGA-EJ-7781-01,0.036284964,0.062520126,0.181004817,PRAD,
TCGA-D5-6537-01,0.035009092,0.061552177,0.020999518,COAD,
TCGA-TS-A8AV-01,0.039891483,0.070723848,0.000999989,MESO,
TCGA-EJ-5532-01,0.037234699,0.064698402,0.000999989,PRAD,
TCGA-E1-5303-01,0.04427395,0.086132576,0.100998096,LGG,
TCGA-DD-AACI-01,0.040455173,0.08133072,0.000999989,LIHC,
