sample,chrX_non_escaping_promoter_CpG_islands_mean_beta,autosome_mean_beta,XIST_TPM,Classification,Secondary_Class
TCGA-CV-A45T-01,0.428222003,0.098282346,64.96991894,HNSC,
TCGA-F4-6808-01,0.384659206,0.074297418,136.9020272,COAD,
TCGA-EW-A1OV-01,0.435678386,0.074967058,98.59892416,BRCA,
TCGA-E2-A1IU-01,0.406652724,0.082139423,64.63304247,BRCA,
TCGA-A2-A0CO-01,0.428015181,0.078693067,112.9703214,BRCA,
TCGA-44-3396-01,0.37031339,0.082694734,76.43174163,LUAD,
TCGA-A1-A0SF-01,0.370317448,0.066573494,31.2005596,BRCA,
TCGA-HT-7902-01,0.379944843,0.066493568,226.7407679,LGG,
TCGA-FR-A728-01,0.338240654,0.072720565,80.18163884,SKCM,
TCGA-A7-A0CG-01,0.440875208,0.070345869,42.7514071,BRCA,
TCGA-25-1631-01,0.439412831,0.044206114,38.7815887,OV,
TCGA-FK-A3SB-01,0.315407383,0.055964229,117.7024059,THCA,
TCGA-EM-A3OA-01,0.395793996,0.076754572,192.9254954,THCA,
TCGA-85-8580-01,0.402304126,0.082366406,70.66872622,LUSC,
TCGA-DD-AADK-01,0.39056996,0.073347765,46.23136326,LIHC,
TCGA-A6-6654-01,0.382485007,0.09972897,13.69141831,COAD,
TCGA-B6-A3ZX-01,0.424971006,0.074382041,89.33168069,BRCA,
TCGA-BR-4292-01,0.487421067,0.077802761,8.801198527,STAD,
TCGA-CW-5583-01,0.501203673,0.065766309,131.562088,KIRC,
TCGA-A8-A07U-01,0.383437038,0.069903316,18.53140036,BRCA,
TCGA-B0-5107-01,0.462625456,0.071105198,245.1464399,KIRC,
TCGA-EL-A3TB-01,0.474457684,0.060758033,177.0361289,THCA,
TCGA-EO-A22U-01,0.467317787,0.081946856,95.4385355,UCEC,
TCGA-A2-A3XW-01,0.394077921,0.06649297,48.14119337,BRCA,
TCGA-EW-A3U0-01,0.395667576,0.069070162,72.54981347,BRCA,
TCGA-RE-A7BO-01,0.30426655,0.077368474,19.09072517,ESCA,
TCGA-QR-A707-01,0.281945409,0.059710221,182.2657909,PCPG,
TCGA-C8-A278-01,0.404689657,0.10423516,95.17429018,BRCA,
TCGA-ZD-A8I3-01,0.526408228,0.106465039,4339.159792,CHOL,
TCGA-XC-AA0X-01,0.380425007,0.080221523,94.45792903,LUSC,
TCGA-QS-A8F1-01,0.362295298,0.070550851,190.5994307,UCEC,
TCGA-BJ-A45F-01,0.480702575,0.066834147,163.8690968,THCA,
TCGA-B4-5835-01,0.386267461,0.085144709,47.82191507,KIRC,
TCGA-06-5412-01,0.370201533,0.062865391,73.96136779,GBM,
TCGA-A7-A4SA-01,0.381525729,0.099581954,50.73115142,BRCA,
TCGA-AR-A24W-01,0.375078768,0.087198246,56.00951381,BRCA,
TCGA-E9-A1RH-01,0.330521443,0.080541361,35.67150055,BRCA,
TCGA-VS-A9U7-01,0.425971133,0.073054674,155.1263548,CESC,
TCGA-G4-6309-01,0.466817699,0.076913729,10.47080169,COAD,
TCGA-DU-5870-09,0.371372185,0.077983197,192.5690748,LGG,
TCGA-QT-A5XJ-01,0.144663188,0.063033928,9.301091313,PCPG,
TCGA-C8-A132-01,0.347277513,0.086951897,113.1035185,BRCA,
TCGA-EL-A3CS-01,0.42081691,0.072084893,34.64079176,THCA,
TCGA-AC-A2FB-01,0.364960281,0.102106666,28.10003457,BRCA,
TCGA-EM-A3SU-09,0.433231099,0.080341243,140.4988845,THCA,
TCGA-B6-A1KN-01,0.38870763,0.082344028,127.2921816,BRCA,
TCGA-EA-A3HS-01,0.431150232,0.066585004,108.9105574,CESC,
TCGA-VS-A94Z-01,0.387668456,0.069064094,112.8138198,CESC,
