sample,median_of_rounded_avg_modal_copies_per_chr,median_of_unrounded_avg_modal_copies_per_chr
TCGA-AK-3447-01,2,2
TCGA-02-0337-01,2,2
TCGA-66-2791-01,2,1.651658531
TCGA-EK-A2RE-01,2,2
TCGA-J4-A67L-01,2,2
TCGA-12-1088-01,2,2
TCGA-AY-A71X-01,2,1.996020334
TCGA-YL-A8SP-01,2,1.971751349
TCGA-DA-A1IB-01,2,2
TCGA-CD-A4MG-01,2,2
TCGA-EL-A3CT-01,2,2
TCGA-D8-A27M-01,2,1.705032242
TCGA-AB-2924-03,2,2
TCGA-AM-5821-01,2,2
TCGA-BA-A6DE-01,2,1.813025187
TCGA-63-7022-01,2,2
TCGA-B6-A0IN-01,2,2
TCGA-EK-A2R9-01,2,2
TCGA-BQ-5888-01,2,2
TCGA-06-6700-01,2,2
TCGA-IZ-8196-01,2,2
TCGA-14-0781-01,2,2
TCGA-EL-A4K1-01,2,2
TCGA-XD-AAUI-01,2,1.892109108
TCGA-09-2048-01,2,2.075718347
TCGA-CV-7089-01,2,2
TCGA-CH-5737-01,2,2
TCGA-A3-3331-01,2,2
TCGA-JY-A6FG-01,2,2.002659005
TCGA-GF-A6C8-01,2,2
TCGA-CQ-6223-01,2,2
TCGA-A2-A0D3-01,2,2
TCGA-B6-A0IE-01,2,2
TCGA-B0-5692-01,2,2
TCGA-DE-A4MD-06,2,2
TCGA-14-1450-01,2,2
TCGA-HC-7209-01,2,1.999875646
TCGA-50-5932-01,2,1.994585123
TCGA-DD-AACY-01,2,2.008818209
TCGA-J4-8198-01,2,2
TCGA-3H-AB3S-01,2,1.996629214
TCGA-08-0529-01,2,2
TCGA-EJ-5521-01,2,1.993721081
TCGA-DD-AAD2-01,2,2
TCGA-B8-5163-01,2,2
TCGA-A2-A0CO-01,2,2
TCGA-HU-A4GQ-01,2,2
TCGA-D3-A2J7-01,2,2
TCGA-D1-A16D-01,2,2
TCGA-02-0104-01,2,1.999622892
TCGA-D6-6515-01,2,2
TCGA-KV-A74V-01,2,2
TCGA-BP-5176-01,2,2
TCGA-BH-A0B2-01,2,2
TCGA-BP-4963-01,2,2
TCGA-EL-A3T0-01,2,2
TCGA-4Z-AA89-01,2,2
TCGA-ZB-A961-01,2,2
TCGA-02-0107-01,2,2
TCGA-DX-A7ER-01,2,2
TCGA-55-A48Y-01,2,2
TCGA-EY-A1GQ-01,2,2
TCGA-16-1060-01,2,2
TCGA-WE-AAA0-06,2,1.999541538
TCGA-N6-A4V9-01,2,1.999358554
TCGA-ER-A2NE-06,2,1.94182808
TCGA-OR-A5J5-01,2,2.07873419
TCGA-EJ-7781-01,2,2
TCGA-J7-6720-01,2,2
TCGA-EJ-A7NF-01,2,2
TCGA-06-0149-01,2,2
TCGA-FY-A3R8-01,2,2
TCGA-36-2537-01,2,2.006767934
TCGA-EW-A1IZ-01,2,2
TCGA-C5-A8XI-01,2,2
TCGA-SP-A6QD-01,2,2
TCGA-EL-A3ZR-01,2,2
TCGA-W5-AA36-01,2,1.997083419
TCGA-V1-A9Z9-01,2,2
TCGA-DD-AADW-01,2,2
TCGA-AZ-6606-01,2,2
TCGA-GM-A2DN-01,2,2
TCGA-G4-6586-01,2,2
TCGA-G5-6233-01,2,2.162342285
TCGA-P4-A5EA-01,2,1.985777441
TCGA-D1-A17S-01,2,2
TCGA-AA-3681-01,2,2
TCGA-QK-A6II-01,2,2
TCGA-CD-5802-01,2,1.870316163
TCGA-AC-A3YJ-01,2,2
TCGA-EJ-5542-01,2,2
TCGA-AY-5543-01,2,1.999436121
TCGA-B5-A0K2-01,2,2
TCGA-DJ-A2PW-01,2,2
TCGA-LL-A440-01,2,2
TCGA-E6-A2P9-01,2,2
TCGA-H7-A6C5-01,2,1.986169881
TCGA-E9-A229-01,2,1.98743363
TCGA-D1-A17T-01,2,2
TCGA-KN-8424-01,2,2
TCGA-D8-A73W-01,2,2
TCGA-S9-A7IX-01,2,1.998004532
TCGA-CJ-5683-01,2,2
TCGA-DM-A1D0-01,2,2
TCGA-AP-A0LD-01,2,2
TCGA-E2-A1B5-01,2,2
TCGA-IB-7645-01,2,2
TCGA-05-4426-01,2,2
TCGA-B5-A121-01,2,2
TCGA-LK-A4O7-01,2,1.943887482
TCGA-D3-A8GB-06,2,1.98673296
TCGA-EJ-5499-01,2,1.988061071
TCGA-CG-4301-01,2,1.97092579
TCGA-30-1857-01,2,1.887003569
TCGA-MU-A8JM-01,2,2
TCGA-BH-A0DT-01,2,2
TCGA-PJ-A5Z9-01,2,2
TCGA-DU-5855-01,2,2
TCGA-V4-A9F5-01,2,2
TCGA-D3-A3C8-06,2,2
TCGA-CU-A72E-01,2,2
TCGA-B0-4819-01,2,2
TCGA-P4-A5E6-01,2,2
TCGA-AC-A7VC-01,2,2
TCGA-36-2532-01,2,2.000020873
TCGA-GS-A9TT-01,2,2
TCGA-BJ-A45D-01,2,2
TCGA-CM-4751-01,2,2
TCGA-TM-A84O-01,2,2
TCGA-HV-A5A4-01,2,2
